hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
0.75,1.693,1.429,1.751,1.295,1.44,0.64,0.14,0.956,-0.265
-0.25,0.785,1.815,1.058,1.634,-0.88,0.08,0.5,0.447,0.261
0.25,1.137,1.437,1.102,0.829,-1.4,0.44,-0.11,0.519,-0.579
0,0.861,1.201,1.028,1.346,-0.03,0.21,-0.74,0.312,-0.506
-0.25,1.229,1.282,1.316,1.718,-0.94,-0.02,0.14,0.415,0.459
0.75,1.998,1.115,1.827,1.174,1.46,0.76,-0.48,0.725,-0.499
0.25,1.074,0.965,1.274,0.81,0.52,-0.27,-0.39,-0.014,-0.633
2,1.588,1.372,2.037,0.792,2.71,0.59,0.21,1.04,-0.831
-0.5,1.128,1.743,0.99,1.247,-0.03,-0.61,0.1,-0.668,-0.201
0.5,1.546,1.748,1.953,1.212,1.06,0.62,0.78,0.946,-0.127
1,1.406,1.536,1.593,1.149,1.24,0.41,0.44,0.445,0.126
1.25,1.768,2.018,1.864,1.453,0.25,0.18,0.79,0.618,0.19
-0.75,1.117,1.751,1.548,1.572,-0.37,-0.8,0.92,0.001,0.696
-0.25,1.03,1.265,1.256,1.267,0.01,-0.35,0.04,-0.13,-0.082
-0.75,1.032,1.438,1.384,1.555,-1.53,-0.51,0.3,0.13,0.75
-1,1.054,1.749,1.02,1.32,-1.64,0.31,0.73,0.428,-0.064
1,1.196,0.956,1.726,0.969,0.59,0.1,-0.36,0.918,-0.564
0.75,1.589,0.918,1.643,0.738,0.29,-0.01,0.14,0.13,-0.05
-0.25,1.658,1.475,1.951,1.402,-1.77,0.31,0.55,0.685,0.155
0.25,1.224,0.904,1.35,0.74,0.84,0.07,0.22,0.268,0.076
0.75,1.515,1.105,1.902,1.259,0.54,0.4,-0.63,0.59,-0.384
0.25,1.305,1.777,1.727,1.292,-1.53,0.16,0.87,0.912,0.139
0.5,1.321,1.178,1.435,1.281,-0.6,0.08,-0.64,0.709,-0.365
1.5,1.606,1.217,1.694,1.006,1.88,0.32,0.45,0.561,0.347
0.75,1.977,1.199,1.851,0.776,0.39,0.68,0.04,0.75,-0.795
0.25,1.022,1.048,1.272,1.322,-0.9,-0.27,-0.74,-0.033,-0.34
0.5,1.564,1.67,1.851,1.078,1.15,0.23,0.08,0.631,-0.36
-0.75,0.905,1.385,1.217,1.314,-1.93,-0.58,0.46,0.025,0.031
-1,1.124,1.793,1.157,1.362,-2.24,0.33,0.26,0.438,-0.077
0.25,0.966,1.054,1.199,0.935,2.4,-0.4,0.27,-0.187,0.192
1.5,1.973,1.496,2.25,1.016,0.58,1.09,0.25,1.217,-0.018
0.25,1.938,2.074,1.955,1.6,-0.13,0.35,1.19,0.726,0.822
0.75,1.417,1.878,1.874,1.384,-0.69,0.53,0.59,0.867,0.066
0.5,1.346,0.887,1.844,1.091,-0.21,0.08,-0.65,0.514,-0.529
0.25,1.073,1.062,1.047,0.95,-0.32,0.27,-0.22,0.306,-0.573
-0.5,1.058,1.339,1.477,1.703,-0.29,-0.72,0.19,-0.18,0.449
0.5,0.99,0.967,0.97,1.003,0.29,-0.75,-0.39,-0.735,-0.374
0.25,1.132,1.101,1.18,0.951,1,0.24,0.28,0.56,0.127
0.75,1.761,1.593,2.065,1.561,1.22,0.85,0.2,1.285,0.196
-0.75,1.517,1.634,1.49,1.705,-1.15,-0.02,0.46,-0.073,0.836
-0.25,1.236,1.355,1.305,1.301,-0.34,0.16,0.02,0.15,-0.06
0.25,1.541,1.858,1.72,1.326,0.7,0.41,1.01,0.69,0.216
-1.25,1.139,1.585,1.134,1.396,-1.08,0.4,0.67,0.409,0.122
1.75,2.352,1.031,2.358,1.356,1.1,1.56,-0.72,1.424,-0.172
0,0.947,1.198,1.195,0.995,0.26,-0.4,-0.08,-0.183,-0.058
1,1.644,1.15,1.963,0.926,2.32,0.25,0.24,0.678,0.139
0.75,1.508,0.991,1.466,0.917,2.68,0.24,0.16,0.594,0.148
-1.25,0.929,1.829,1.193,1.485,-3,-0.55,0.3,-0.055,0.004
0.75,1.781,1.426,1.895,1.056,1.98,0.56,-0.06,0.859,-0.381
0.25,1.125,1.037,1.186,1.135,2.69,-0.19,-0.91,-0.113,-0.458
